date,rh,sw_in,H,vp,theta_1,G,lw_out,LE,wd,es,ws,sw_out,vpd,Rn,lw_in,t_avg,theta_mean,t_dew,theta_2,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.17416046159485,,,1.0989884840290527,0.9099276421294732,,,0.9099276421294732,,,,,0.90000004,0.7,0.0,,,,False,
2013-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.6540093518937,,,1.105115939828363,0.904882432657076,,,0.904882432657076,,,,,1.1,0.8,0.0,,,,False,
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.1723018847876,,,1.11504710250498,0.8968231007941064,,,0.8968231007941064,,,,,1.2,0.8,0.0,,,,False,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.7289140829832,,,1.121433305524482,0.891715980855688,,,0.891715980855688,,,,,1.0,0.7,0.0,,,,False,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.32371064391606,,,1.12493832912536,0.8889376191648659,,,0.8889376191648659,,,,,1.1,0.8,3.0,,,,False,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.95654471387851,,,1.1320312725135255,0.8833678223214032,,,0.8833678223214032,,,,,0.4,0.3,16.0,,,,False,
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.62725765502694,,,1.1399045622592636,0.8772664248470274,,,0.8772664248470274,,,,,1.0,0.7,0.0,,,,False,
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.33567880673678,,,1.1475240454429378,0.8714414342524784,,,0.8714414342524784,,,,,1.0,0.8,0.0,,,,False,
2013-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0816252428241,,,1.1544142918253928,0.8662401419327298,,,0.8662401419327298,,,,,0.90000004,0.7,0.0,,,,False,
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.86490152618515,,,1.1626236871083266,0.8601235387584407,,,0.8601235387584407,,,,,0.8,0.6,0.0,,,,False,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.6852994624302,,,1.1695854526087242,0.8550037945235478,,,0.8550037945235478,,,,,1.7,1.1,0.0,,,,False,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.54259785410787,,,1.176350324936844,0.8500868991162885,,,0.8500868991162885,,,,,1.1,0.8,0.3,,,,False,
2013-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.43656225712422,,,1.182133423709436,0.8459282006104551,,,0.8459282006104551,,,,,1.2,0.8,0.0,,,,False,
