year,total_acres,net_et_acft,et_acft,pr_acft,field_count,net_et_mm,et_mm,pr_mm,net_et_inches,et_inches,pr_inches
2016,8600.644143000001,15141.04886230373,20015.488512897915,7505.3131762703215,180,536.5867505384796,709.3330217244966,265.9823401703081,21.12546261962518,27.926496918287267,10.47174567599638
2017,8600.644143000001,16620.31751359342,20310.48045838271,3744.8032123440616,180,589.0108570840418,719.7873020654575,132.71285268225634,23.18940382220637,28.338082758482578,5.224915459931352
2018,8600.644143000001,13879.743796862376,18862.83897628166,5138.494633071581,180,491.88710042454915,668.4840372857465,182.1041701202051,19.36563387498225,26.318269184478204,7.169455516543508
2019,8600.644143000001,14545.026763655196,19070.63346385729,4716.144459565,180,515.4642005704134,675.8481089482859,167.13641529342505,20.293866164189502,26.608193265680548,6.580173830449805
2020,8600.644143000001,14196.516208273133,16871.684081900585,2753.021894987441,180,503.1132631854607,597.9190886939243,97.5649102137456,19.80760878682916,23.540121602123,3.841138197391559
2021,8600.644143000001,10441.14490736175,12971.470659117516,3884.3316642877953,180,370.0258858348467,459.6986215406795,137.65763024139574,14.567948261214436,18.098370926798403,5.419591741787233
2022,8600.644143000001,6988.619810646664,10211.013443647067,3663.9813295192616,180,247.67113751808935,361.8702094722425,129.84858932297658,9.750832185751548,14.246858640639466,5.112149185943959
2023,8600.644143000001,12228.584264948977,17124.54623034318,5827.813545129829,180,433.3713175413782,606.8803224764,206.5330850830869,17.06186289532985,23.892926081748033,8.131223822168774
2024,8600.644143000001,14768.238984859827,19231.574131466852,4491.562902652625,180,523.3746644719508,681.5517184305269,159.17742322158068,20.605301750864207,26.83274482009948,6.266827685889003
2025,8600.644143000001,15171.893411402809,20281.780685358583,5485.51209020585,180,537.679856869713,718.7702048954887,194.402193288692,21.168498301957204,28.298039562814516,7.653629657035117
